species,lon,lat,ROUGHN,ALTITUDE,APAN_MEAN_,PPTCV,FROST_DURT,HTUNT,MAX01,MIN07,MEAN_AN_PR,NDVI,RAIN_CONCE,SMDSUM,SMDWIN,FERT1,FERT2,FERT3,FERT4,TEXT1,TEXT2,TEXT3,TEXT4,PH1,PH2,PH3,fold.assignment,ID
1,22.4,-33.4,405.0,964.0,2178.4,27.8,115.0,12.4,30.4,2.9,641.0,156.0,6.0,22.9,44.0,35.0,0.0,47.0,18.0,18.0,47.0,0.0,35.0,35.0,65.0,0,2,365
1,22.7,-33.4,375.0,1697.0,2059.6,27.9,175.0,2.0,27.5,-0.1,637.0,100.0,13.0,20.2,39.2,91.0,0.0,9.0,0.0,0.0,9.0,15.0,76.0,91.0,9.0,0,2,374
1,22.8,-33.4,402.0,1643.0,2081.5,30.8,163.0,1.3,27.1,-0.5,507.0,93.0,14.0,18.3,35.3,92.0,0.0,8.0,0.0,0.0,8.0,18.0,75.0,92.0,8.0,0,2,375
1,22.8,-33.4,412.0,1442.0,2163.1,32.9,156.0,3.2,28.0,0.4,415.0,91.0,15.0,16.8,32.6,93.0,0.0,7.0,0.0,0.0,7.0,39.0,54.0,93.0,7.0,0,2,376
1,22.8,-33.4,458.0,1420.0,2166.0,33.3,152.0,3.2,28.0,0.3,399.0,85.0,17.0,16.6,31.6,89.0,0.0,8.0,2.0,0.0,11.0,56.0,33.0,89.0,11.0,0,2,377
1,22.8,-33.4,451.0,1275.0,2200.0,33.9,146.0,4.4,28.4,0.8,372.0,74.0,17.0,16.1,30.7,72.0,0.0,11.0,17.0,0.0,26.0,40.0,33.0,72.0,28.0,0,2,378
1,22.9,-33.4,429.0,1181.0,2258.4,35.2,143.0,7.2,29.1,1.6,315.0,73.0,17.0,15.1,29.1,71.0,0.0,20.0,8.0,0.0,10.0,57.0,32.0,71.0,21.0,8,2,379
1,22.9,-33.4,425.0,1031.0,2293.7,35.8,127.0,9.1,29.6,2.2,286.0,73.0,17.0,14.6,28.2,55.0,0.0,40.0,5.0,0.0,5.0,59.0,36.0,55.0,23.0,22,2,380
1,20.4,-33.4,433.0,1114.0,2033.9,33.8,117.0,3.6,26.9,3.0,378.0,59.0,37.0,15.1,50.7,84.0,10.0,0.0,6.0,0.0,14.0,86.0,0.0,84.0,16.0,0,2,383
1,21.2,-33.4,861.0,1929.0,2066.8,29.4,121.0,2.3,27.3,1.2,570.0,89.0,8.0,20.6,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,392
1,21.3,-33.4,748.0,1446.0,2086.5,31.6,139.0,3.4,27.7,1.7,473.0,82.0,8.0,18.9,36.7,99.0,0.0,1.0,0.0,0.0,1.0,0.0,99.0,99.0,1.0,0,2,393
1,21.3,-33.4,631.0,1261.0,2066.1,31.0,143.0,4.3,28.0,2.0,499.0,103.0,8.0,19.3,37.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,394
1,21.3,-33.4,549.0,1702.0,2062.0,29.1,129.0,2.3,27.3,1.2,582.0,84.0,8.0,20.7,39.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,395
1,21.3,-33.4,429.0,1170.0,2103.5,33.2,148.0,4.3,28.0,2.1,402.0,87.0,8.0,17.4,34.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,396
1,21.4,-33.4,533.0,1231.0,2123.5,32.8,132.0,6.0,28.4,2.6,419.0,94.0,8.0,17.6,34.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,397
1,22.1,-33.4,290.0,1123.0,2154.8,29.8,128.0,8.2,29.5,1.7,552.0,117.0,2.0,21.7,39.5,0.0,0.0,22.0,78.0,78.0,22.0,0.0,0.0,0.0,100.0,0,2,400
1,22.1,-33.4,315.0,999.0,2247.9,32.1,120.0,12.2,30.4,2.8,453.0,120.0,3.0,19.6,36.3,0.0,0.0,22.0,78.0,78.0,22.0,0.0,0.0,0.0,100.0,0,2,401
1,22.1,-33.4,273.0,1053.0,2192.8,31.0,122.0,9.4,29.8,2.0,499.0,114.0,3.0,20.4,37.9,0.0,0.0,18.0,82.0,82.0,18.0,0.0,0.0,0.0,100.0,0,2,402
1,22.8,-33.4,481.0,1190.0,2171.8,30.6,140.0,5.6,28.7,1.2,516.0,97.0,15.0,18.2,35.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,2,408
1,22.9,-33.4,413.0,1387.0,2165.8,30.5,138.0,5.1,28.6,1.1,520.0,96.0,16.0,18.1,34.8,94.0,0.0,6.0,0.0,0.0,6.0,2.0,92.0,94.0,6.0,0,2,409
1,22.9,-33.4,428.0,1356.0,2154.0,29.9,125.0,4.9,28.6,1.0,549.0,82.0,16.0,18.6,35.3,91.0,1.0,8.0,0.0,0.0,9.0,17.0,74.0,91.0,9.0,0,2,410
1,21.2,-33.4,515.0,1060.0,2106.5,31.5,115.0,6.9,28.6,2.7,479.0,103.0,7.0,19.4,37.8,87.0,0.0,13.0,0.0,0.0,13.0,28.0,60.0,87.0,13.0,0,2,419
1,21.3,-33.4,437.0,1196.0,2065.2,30.6,118.0,5.0,28.1,2.4,516.0,111.0,7.0,19.7,38.1,89.0,0.0,11.0,0.0,0.0,11.0,26.0,62.0,89.0,11.0,0,2,420
1,21.3,-33.4,354.0,1100.0,2118.9,32.8,125.0,6.0,28.4,2.6,422.0,106.0,7.0,17.9,34.9,85.0,2.0,13.0,0.0,0.0,15.0,28.0,57.0,85.0,15.0,0,2,421
1,22.1,-33.4,301.0,951.0,2245.2,31.4,108.0,13.1,30.6,3.0,482.0,119.0,3.0,20.1,37.2,0.0,0.0,1.0,99.0,99.0,1.0,0.0,0.0,0.0,100.0,0,2,422
1,23.7,-33.5,414.0,1249.0,2066.4,30.4,145.0,4.8,28.5,0.7,528.0,101.0,19.0,22.6,31.8,100.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,100.0,0.0,0,2,442
1,23.7,-33.5,271.0,1267.0,2070.0,30.6,149.0,4.8,28.5,0.7,517.0,81.0,19.0,22.4,31.4,100.0,0.0,0.0,0.0,0.0,0.0,34.0,66.0,100.0,0.0,0,2,443
